fold,subject,loss,mae,mape,CLASSIFICADOR,FILTERS,KERNEL_SIZES,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,DROPOUT_RATE,USE_POOLING,combination_id,execution_time
1,0,721.294985008554,21.684557992973243,0.1819596281211363,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,False,18,135.31601357460022
2,1,942.8438024930233,27.76120923649181,0.34807938885251233,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,False,18,135.31601357460022
3,2,145.37687975585482,9.84792869814739,0.10317037334190284,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,False,18,135.31601357460022
4,3,598.251384565204,20.083188776030745,0.20063162807578644,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,False,18,135.31601357460022
5,4,252.92813009624928,12.885092531089942,0.12929895493052612,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,False,18,135.31601357460022
6,5,303.608650518234,13.343325171176811,0.156105932243336,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,False,18,135.31601357460022
7,6,132.94003242282176,9.265568707864496,0.10394134029034305,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,False,18,135.31601357460022
8,7,279.3131124290577,14.00617509439957,0.19482527440546143,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,False,18,135.31601357460022
1,0,587.9550374752092,19.94884325395402,0.17478074272677357,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,True,19,139.63851165771484
2,1,366.41127475732213,15.775423414056952,0.1936648767035183,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,True,19,139.63851165771484
3,2,129.22511720126863,8.715601593393757,0.09788328371900801,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,True,19,139.63851165771484
4,3,304.6253054954067,12.347195570487042,0.13295806935510834,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,True,19,139.63851165771484
5,4,171.44120368096847,10.524292502467487,0.10804421220755253,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,True,19,139.63851165771484
6,5,354.86830276835343,14.831245281695164,0.1758520161485121,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,True,19,139.63851165771484
7,6,117.65962648761403,8.560043868535683,0.09879582667903145,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,True,19,139.63851165771484
8,7,189.59405118393926,11.216454756161397,0.14852290399686163,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,True,19,139.63851165771484
1,0,672.6561809587057,21.074396063641803,0.17973580462411773,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,False,20,209.03420996665955
2,1,287.4273768630256,14.309003267288208,0.18967242291304048,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,False,20,209.03420996665955
3,2,118.01337366831962,8.40642058671776,0.09913888476524445,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,False,20,209.03420996665955
4,3,292.5599607053193,12.686306854273845,0.144823200331613,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,False,20,209.03420996665955
5,4,178.37179701825812,10.44319979024941,0.10670511099391694,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,False,20,209.03420996665955
6,5,311.5222369423796,13.840031803839995,0.16308582724693832,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,False,20,209.03420996665955
7,6,135.4694486899317,9.2011431259445,0.10164907050345369,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,False,20,209.03420996665955
8,7,188.33043828449337,11.174313492026211,0.14581839483471606,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,False,20,209.03420996665955
1,0,509.3560147455205,18.28385623225616,0.16050642624550937,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,True,21,110.27232956886292
2,1,1011.8648521041557,28.61989450454712,0.3685358471290651,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,True,21,110.27232956886292
3,2,177.7545739492154,10.543547383931948,0.11777547012682446,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,True,21,110.27232956886292
4,3,138.82999973070307,8.564932123443784,0.08729866858991381,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,True,21,110.27232956886292
5,4,108.24231403454259,8.36892183093874,0.08429957433856332,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,True,21,110.27232956886292
6,5,209.840809828615,11.274287413995513,0.13072397203709685,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,True,21,110.27232956886292
7,6,180.24288692037237,10.666230184820634,0.12118696295510104,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,True,21,110.27232956886292
8,7,508.0322825233483,19.39325061809918,0.26100085005771706,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,True,21,110.27232956886292
1,0,606.6154270587106,20.459454988957507,0.17769599801035219,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,False,22,193.131933927536
2,1,489.76104375158616,19.317247857180508,0.26695990048959883,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,False,22,193.131933927536
3,2,97.47235187067687,7.883625459597548,0.08745104010681008,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,False,22,193.131933927536
4,3,238.79881727944672,10.774564393173307,0.10480415369657915,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,False,22,193.131933927536
5,4,100.7100253671134,7.9812702855784785,0.0803179195264426,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,False,22,193.131933927536
6,5,232.23943621945855,11.77253442456108,0.13924341175986005,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,False,22,193.131933927536
7,6,113.22781391024125,8.404786055601097,0.09462985008724342,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,False,22,193.131933927536
8,7,437.3300658418892,17.81420344557644,0.24072513596964096,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,False,22,193.131933927536
1,0,344.15514861780855,13.921365408040995,0.12908653789925684,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,True,23,136.46619939804077
2,1,203.21509689372033,11.82257265957919,0.1440037966663672,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,True,23,136.46619939804077
3,2,162.46481991963554,9.634800737064559,0.1116951568726045,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,True,23,136.46619939804077
4,3,307.8267341127424,12.28301641765733,0.13238734669919716,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,True,23,136.46619939804077
5,4,148.84500190530363,9.634695512884116,0.09760297167416548,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,True,23,136.46619939804077
6,5,433.0618969522066,16.789176313464125,0.2026011577426644,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,True,23,136.46619939804077
7,6,174.5393761599177,10.540478206586233,0.12119161464460175,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,True,23,136.46619939804077
8,7,273.7800848779802,13.546502406932106,0.19536386808388906,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,True,23,136.46619939804077
1,0,346.1092601895182,14.073843930618727,0.13048890689225606,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,False,24,196.42550373077393
2,1,202.9926976472224,11.817055289528586,0.14399782191476998,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,False,24,196.42550373077393
3,2,160.42887059424777,9.861165809337457,0.11526892523849833,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,False,24,196.42550373077393
4,3,281.2922172627893,11.916765614474919,0.13109729994157915,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,False,24,196.42550373077393
5,4,140.06504201246815,9.350540203656145,0.09551039657583166,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,False,24,196.42550373077393
6,5,438.7591067919709,16.85895521301832,0.20272739072596918,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,False,24,196.42550373077393
7,6,173.12715391984185,10.631281531611576,0.1254121399949915,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,False,24,196.42550373077393
8,7,298.0419116787588,14.167374244406204,0.20621704289095086,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,False,24,196.42550373077393
1,0,1148.700905155439,28.268818289636247,0.24200885116378482,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,True,25,78.29490041732788
2,1,760.4602045676312,24.46646346352317,0.3089555574482503,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,True,25,78.29490041732788
3,2,165.56348651315227,10.418206712069363,0.11036687434800399,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,True,25,78.29490041732788
4,3,342.4546117634585,13.520169762766976,0.1315068412068889,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,True,25,78.29490041732788
5,4,201.8479164726285,11.434049624041297,0.11436081025584764,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,True,25,78.29490041732788
6,5,202.90794864455015,11.202047545142916,0.13172282181581324,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,True,25,78.29490041732788
7,6,123.97863065832314,8.784479406815542,0.09717486544648782,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,True,25,78.29490041732788
8,7,304.0837725028462,14.358215275874809,0.1940888581726148,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,True,25,78.29490041732788
1,0,1272.495796442653,30.72613411732101,0.27081242932095684,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,False,26,103.38283586502075
2,1,412.7242182814364,17.053762669996782,0.21525772662044035,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,False,26,103.38283586502075
3,2,191.64276381145976,11.429349956110801,0.11640666208363493,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,False,26,103.38283586502075
4,3,309.5189206905398,12.212879428395958,0.11863916477957444,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,False,26,103.38283586502075
5,4,200.0360069055438,11.048040864858526,0.10877591799828037,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,False,26,103.38283586502075
6,5,207.26131115899213,12.086660765491025,0.14991771213568322,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,False,26,103.38283586502075
7,6,145.0693199769578,9.514964992185183,0.10764308954140514,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,False,26,103.38283586502075
8,7,244.52249452249146,13.112868522809556,0.18140630083208908,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,False,26,103.38283586502075
1,0,947.2431642953696,25.50736211514526,0.21843617918495042,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,True,27,125.10972118377686
2,1,267.01981513985487,13.399805792895231,0.16362766511363952,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,True,27,125.10972118377686
3,2,129.30061389800454,8.681321076999032,0.0992008325386417,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,True,27,125.10972118377686
4,3,344.83479810420295,13.141754173768948,0.13964779044452177,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,True,27,125.10972118377686
5,4,169.64138837708518,10.40638998060851,0.10479851700150591,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,True,27,125.10972118377686
6,5,199.48846300688245,11.210917201220324,0.13451795980256454,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,True,27,125.10972118377686
7,6,133.80953703171292,9.09697715783421,0.10160217589580173,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,True,27,125.10972118377686
8,7,188.5493207013945,11.293055719580533,0.14903014567601344,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,True,27,125.10972118377686
1,0,879.9495466789394,24.424966273973894,0.20681865856089127,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,False,28,150.98947763442993
2,1,266.1487020764165,12.812830188057639,0.14281454060157786,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,False,28,150.98947763442993
3,2,121.83986919289691,8.435903145584867,0.0940452692828547,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,False,28,150.98947763442993
4,3,249.47984924290483,11.869631182008746,0.1282229852100881,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,False,28,150.98947763442993
5,4,188.47175572825068,11.107907774943392,0.11312373279831975,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,False,28,150.98947763442993
6,5,164.22222007364184,10.566479104979994,0.13208359841988093,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,False,28,150.98947763442993
7,6,127.63954221800371,8.94380627644213,0.09721242499566479,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,False,28,150.98947763442993
8,7,190.5793766073324,11.259828521200447,0.14876578881454738,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.5,False,28,150.98947763442993
1,0,475.5841407212758,18.439707765558076,0.16674981002241862,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.01,50,relu,adam,0.0,True,29,99.47019958496094
2,1,170.41544996498345,10.427750116695059,0.12433300209923301,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.01,50,relu,adam,0.0,True,29,99.47019958496094
3,2,391.27114949949157,16.32223304920951,0.15617830694176266,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.01,50,relu,adam,0.0,True,29,99.47019958496094
4,3,158.32453862379796,9.787267305240325,0.11499683454962187,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.01,50,relu,adam,0.0,True,29,99.47019958496094
5,4,152.13560644065484,10.14695176223351,0.10286070570300473,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.01,50,relu,adam,0.0,True,29,99.47019958496094
6,5,521.7030357264405,20.105063907155014,0.2511812239601119,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.01,50,relu,adam,0.0,True,29,99.47019958496094
7,6,117.5831199390471,8.46188550659373,0.09534299391242453,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.01,50,relu,adam,0.0,True,29,99.47019958496094
8,7,353.267475014349,15.591277474214223,0.21046235419098855,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.01,50,relu,adam,0.0,True,29,99.47019958496094
1,0,295.33778016827773,13.256827684305193,0.12286062343143728,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.01,50,relu,adam,0.0,False,30,93.70688343048096
