n_estimators,learning_rate,max_depth,subsample,colsample_bytree,gamma,min_child_weight,mean_loss,mean_mae,mean_mape,execution_time
100,0.01,6,0.8,0.7,0.3,3,278.5464236737471,13.15424295824352,0.1525308765197906,34.231972217559814
100,0.01,6,0.8,0.7,0.3,5,278.9033065994986,13.1607747130487,0.15258414051161256,34.278807640075684
100,0.01,6,0.8,0.8,0.0,1,281.2460995260214,13.171793589480128,0.15256080682814832,46.063720703125
100,0.01,6,0.8,0.8,0.0,3,281.5167449204033,13.175981804617274,0.1527415162862953,44.98998522758484
100,0.01,6,0.8,0.8,0.0,5,281.83397999263167,13.183340057357995,0.15301939254084906,44.32607316970825
100,0.01,6,0.8,0.8,0.1,1,281.64333478912783,13.196920998986517,0.15318373289656978,41.339967489242554
100,0.01,6,0.8,0.8,0.1,3,282.5117123224756,13.220479762805514,0.1534624137833944,41.26505756378174
100,0.01,6,0.8,0.8,0.1,5,282.2033401688444,13.206405728248681,0.15341947155574132,40.94417142868042
100,0.01,6,0.8,0.8,0.3,1,277.91162996465226,13.13592809674038,0.15255280220259387,36.0876841545105
100,0.01,6,0.8,0.8,0.3,3,277.9509386848728,13.136586767512586,0.15255904624115274,35.70215582847595
100,0.01,6,0.8,0.8,0.3,5,277.6647992952761,13.128641265843362,0.1524720742007882,35.25857853889465
100,0.01,6,0.8,1.0,0.0,1,274.81851894154005,13.006851001385979,0.15164280089904686,51.42268443107605
100,0.01,6,0.8,1.0,0.0,3,274.8894614245458,13.01929270374428,0.15196278333767022,50.106475591659546
100,0.01,6,0.8,1.0,0.0,5,275.348940569578,13.01909379452335,0.15227792898477066,49.19610023498535
100,0.01,6,0.8,1.0,0.1,1,272.1084964721133,12.968648978013077,0.15139823393742013,46.52323389053345
100,0.01,6,0.8,1.0,0.1,3,273.8610963609698,13.003789237531295,0.1519782427556334,45.401611328125
100,0.01,6,0.8,1.0,0.1,5,275.1777704989221,13.039095150461247,0.15247017509335967,45.01785683631897
100,0.01,6,0.8,1.0,0.3,1,265.8357132387831,12.837328208134311,0.1499367326114901,40.128469705581665
100,0.01,6,0.8,1.0,0.3,3,266.08974755705935,12.845052236201466,0.15010517973348686,39.514137506484985
100,0.01,6,0.8,1.0,0.3,5,266.8251569460598,12.855128659378995,0.15020528144426365,38.788596391677856
100,0.01,6,1.0,0.7,0.0,1,283.6919006339191,13.22945356802425,0.15338644971805954,44.621994972229004
100,0.01,6,1.0,0.7,0.0,3,284.35261388195767,13.244762884154165,0.15373157280864402,44.191542625427246
100,0.01,6,1.0,0.7,0.0,5,285.97017721904933,13.272917926771967,0.15435175111241023,43.92396569252014
100,0.01,6,1.0,0.7,0.1,1,284.57168847286664,13.281932455978135,0.154045880172451,41.59148955345154
100,0.01,6,1.0,0.7,0.1,3,286.08053957257897,13.310635226694448,0.15459239843529943,40.608927965164185
100,0.01,6,1.0,0.7,0.1,5,285.21347634427246,13.271261239105886,0.15425717034592545,40.607298135757446
100,0.01,6,1.0,0.7,0.3,1,278.5555604592615,13.146789999388847,0.15255630897023936,36.58476901054382
100,0.01,6,1.0,0.7,0.3,3,278.89970641587786,13.153940103868205,0.15261696851445083,36.329742193222046
100,0.01,6,1.0,0.7,0.3,5,279.4939955756337,13.147111748023036,0.15253610571452308,35.605132818222046
100,0.01,6,1.0,0.8,0.0,1,280.7945452463832,13.198891377661603,0.15303851657989173,46.27649545669556
100,0.01,6,1.0,0.8,0.0,3,283.38354189003877,13.212167843404593,0.15336670253151322,45.362390995025635
100,0.01,6,1.0,0.8,0.0,5,284.82453967543745,13.247354937621726,0.1540865678126875,44.81696438789368
100,0.01,6,1.0,0.8,0.1,1,281.4099961733437,13.198881454496242,0.15293142577250574,42.60863137245178
100,0.01,6,1.0,0.8,0.1,3,283.1551682784691,13.234558027149653,0.15384440663451493,41.97209405899048
100,0.01,6,1.0,0.8,0.1,5,282.61875759466045,13.245354172279804,0.1541217582037253,41.437965631484985
100,0.01,6,1.0,0.8,0.3,1,274.83577395639736,13.064443685354144,0.15193338721108707,37.265411138534546
100,0.01,6,1.0,0.8,0.3,3,274.88791861407753,13.064918375661415,0.15194002353876843,36.914286613464355
100,0.01,6,1.0,0.8,0.3,5,273.6945331237455,13.033906520328031,0.15165354801145237,36.55335855484009
100,0.01,6,1.0,1.0,0.0,1,279.62757937359265,13.125847404850456,0.15342969028276784,50.83940649032593
100,0.01,6,1.0,1.0,0.0,3,277.68966161426994,13.10749383924258,0.15331833491702435,49.48765182495117
100,0.01,6,1.0,1.0,0.0,5,279.44900276594115,13.124027580555138,0.15330082161678776,49.552295446395874
100,0.01,6,1.0,1.0,0.1,1,279.98577935753883,13.152800542351834,0.15375905824492284,47.489500761032104
100,0.01,6,1.0,1.0,0.1,3,278.706401759347,13.113438304654249,0.15336122388949158,46.12682771682739
100,0.01,6,1.0,1.0,0.1,5,278.6782167590144,13.105955590482257,0.15324873132003725,45.67972946166992
100,0.01,6,1.0,1.0,0.3,1,266.910164404477,12.840904483045126,0.1502153942323861,41.44497203826904
100,0.01,6,1.0,1.0,0.3,3,268.1843934831487,12.867782194731348,0.1504606981620195,40.57685971260071
100,0.01,6,1.0,1.0,0.3,5,267.10385786450456,12.851656196923201,0.15029727510995958,40.584076166152954
100,0.01,8,0.7,0.7,0.0,1,280.9046434893758,13.21564743418887,0.15283611680836479,116.07880282402039
100,0.01,8,0.7,0.7,0.0,3,284.5749117171016,13.298180703490377,0.15415108203451572,108.13991928100586
100,0.01,8,0.7,0.7,0.0,5,286.3581198966552,13.336534301472255,0.15475725093784054,103.94558668136597
100,0.01,8,0.7,0.7,0.1,1,287.4468229213327,13.389507664419927,0.15485009245273704,69.14519572257996
100,0.01,8,0.7,0.7,0.1,3,287.7848144156163,13.3986539604172,0.15515388648261744,67.81634759902954
100,0.01,8,0.7,0.7,0.1,5,290.8109315199283,13.451749800517009,0.15581371977744488,66.736732006073
100,0.01,8,0.7,0.7,0.3,1,285.1682717915482,13.330504236087648,0.15398903049508406,47.53784775733948
100,0.01,8,0.7,0.7,0.3,3,285.648818769899,13.342930402297272,0.15409957109652614,46.365976095199585
100,0.01,8,0.7,0.7,0.3,5,285.6125097401421,13.34449121691835,0.15412139528773883,46.553683280944824
100,0.01,8,0.7,0.8,0.0,1,279.57810903872075,13.19975134459002,0.1529195233061424,120.93573236465454
