fold,subject,loss,mae,mape,CLASSIFICADOR,ARCHITECTURE,RECURRENT_LAYERS,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,combination_id,execution_time
6,5,280.2736373802409,12.871977184652877,0.15009551278820277,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,20,697.5541207790375
7,6,197.53080718432614,10.816127104698857,0.11594234349517937,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,20,697.5541207790375
8,7,242.53457292048063,12.433548537167635,0.16792195108477354,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,20,697.5541207790375
1,0,531.65301554887,18.200591679422924,0.174803649979735,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,relu,adam,21,1575.6966440677643
2,1,827.8849007442517,24.944335559498178,0.31451279768837126,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,relu,adam,21,1575.6966440677643
3,2,161.00610187337804,9.76586991453636,0.1054310864411811,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,relu,adam,21,1575.6966440677643
4,3,284.81453946096565,12.542747366156298,0.13899438537704722,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,relu,adam,21,1575.6966440677643
5,4,184.45285228654353,11.330464486681578,0.11819531953900636,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,relu,adam,21,1575.6966440677643
6,5,215.4977510846367,11.44749037378451,0.13634853928145008,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,relu,adam,21,1575.6966440677643
7,6,199.95556403833456,10.873349326169944,0.11814474421947183,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,relu,adam,21,1575.6966440677643
8,7,234.28957715328886,12.29175436989335,0.16626563644441836,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,relu,adam,21,1575.6966440677643
1,0,196.83197913711987,10.881708268844367,0.10660304276382443,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,22,622.4340841770172
2,1,395.7025261360979,16.15291442004117,0.19696013064234846,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,22,622.4340841770172
3,2,125.72808383778083,8.514055060066807,0.09445404864456902,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,22,622.4340841770172
4,3,244.30589628281416,10.936167392101916,0.1173646382571546,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,22,622.4340841770172
5,4,190.23761615587273,11.129598831942179,0.11185690326354118,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,22,622.4340841770172
6,5,326.7618996673884,14.502862583254796,0.17796571011340712,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,22,622.4340841770172
7,6,167.73099907764106,10.071089888222609,0.1071680948878668,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,22,622.4340841770172
8,7,253.2271947295956,12.808392556245662,0.1698127314480677,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,22,622.4340841770172
1,0,764.5631127238076,22.225377259391905,0.19086216393876038,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,relu,adam,23,1297.3691141605377
2,1,742.0360895859501,23.38340828028592,0.28679953444829565,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,relu,adam,23,1297.3691141605377
3,2,118.55759050533487,8.376756774870996,0.10423072729501998,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,relu,adam,23,1297.3691141605377
4,3,290.21707639333886,12.279869186001516,0.1337500119963737,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,relu,adam,23,1297.3691141605377
5,4,283.32807068197974,14.228919330885727,0.14555834805540596,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,relu,adam,23,1297.3691141605377
6,5,498.0915533733286,17.880972223221708,0.21647608339959767,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,relu,adam,23,1297.3691141605377
7,6,183.86721309362284,10.447958829131307,0.11543848331568976,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,relu,adam,23,1297.3691141605377
8,7,238.3739347373791,12.609775814143095,0.17665903657511856,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,relu,adam,23,1297.3691141605377
1,0,339.5895088686581,14.26612749332335,0.13054971066014553,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,24,462.17043709754944
2,1,263.4744364605081,13.183061242537065,0.15836142711404172,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,24,462.17043709754944
3,2,175.2881932452766,10.220396974482288,0.10872448149869818,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,24,462.17043709754944
4,3,235.6318092701091,12.163541077156744,0.1389684093356139,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,24,462.17043709754944
5,4,166.45598180580365,10.126559526378811,0.10378347705097751,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,24,462.17043709754944
6,5,381.99131753722304,14.899158755417648,0.17053516290929044,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,24,462.17043709754944
7,6,186.69527563735465,10.532409659518471,0.11844217645403843,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,24,462.17043709754944
8,7,233.95294722216858,12.459034597578128,0.171296349449992,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,24,462.17043709754944
1,0,616.6912974784777,20.307810677657372,0.1759029181960184,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,25,937.4460718631744
2,1,1058.313244380217,28.21491322777488,0.33996502839710896,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,25,937.4460718631744
3,2,180.62998202207,10.619895011263134,0.11232936695742979,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,25,937.4460718631744
4,3,263.3663372193184,11.54017398685897,0.11472414375845583,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,25,937.4460718631744
5,4,225.44766179405232,12.288662920649308,0.12554369429944892,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,25,937.4460718631744
6,5,283.1108132650453,12.88645551645426,0.1511322550426042,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,25,937.4460718631744
7,6,216.69199078168214,11.455274874047387,0.12310241843397106,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,25,937.4460718631744
8,7,291.8871107273009,14.060210394465233,0.19837858789303567,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,25,937.4460718631744
1,0,869.9380340124775,23.15390430268586,0.19638444820350937,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,26,400.68087434768677
2,1,945.47539124274,26.832117979743263,0.32966399196425494,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,26,400.68087434768677
3,2,192.8911454536206,11.485504784214234,0.11734280082308979,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,26,400.68087434768677
4,3,250.81507019250665,12.393621794570834,0.14513714013563714,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,26,400.68087434768677
5,4,230.21256883890476,11.637662212515341,0.11790056268025839,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,26,400.68087434768677
6,5,380.8491783252425,14.768388514030566,0.1756175106238787,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,26,400.68087434768677
7,6,206.2158072111692,11.240755823594105,0.12073754050908977,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,26,400.68087434768677
8,7,277.43660980134473,13.443193407098125,0.18183455041327945,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,26,400.68087434768677
1,0,545.9045357481408,18.863080511071992,0.16988568886124888,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,relu,adam,27,853.6147527694702
2,1,1146.816367150561,29.402696696194738,0.3511065503049553,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,relu,adam,27,853.6147527694702
3,2,181.84507380905174,10.211803085570097,0.10967987546543825,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,relu,adam,27,853.6147527694702
4,3,232.81642584110904,11.527173215619406,0.12668730403038872,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,relu,adam,27,853.6147527694702
5,4,199.49438091028122,11.551373802004335,0.11884324086184897,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,relu,adam,27,853.6147527694702
6,5,217.20633122497392,11.733484748496064,0.14021184402009687,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,relu,adam,27,853.6147527694702
7,6,230.3729078820617,12.074627436867242,0.12990744031826254,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,relu,adam,27,853.6147527694702
8,7,264.41945039350793,13.13943008154877,0.1762375290798714,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,relu,adam,27,853.6147527694702
1,0,650.6826577769674,19.885672484691813,0.1754514051086446,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,28,436.0884847640991
2,1,426.98470061392914,16.832216124101116,0.20384806059592758,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,28,436.0884847640991
